semana ,2013,2014,2015,2016,2017,2018,2019,2020
1,466832,425052,505663,394771,402288,514992,492424,418046
2,481107,453595,631906,478924,501095,527679,497784,425173
3,651752,634081,663999,525174,564532,648300,631726,529933
4,678986,706850,707171,588323,606119,672728,632540,561494
5,718682,768704,676997,629373,654472,705863,672094,592785
6,692012,763921,595469,600098,630235,636584,657518,614457
7,633305,661798,659601,715298,626856,570324,581897,531547
8,669834,688276,640610,799877,660349,581180,619072,554602
9,686628,691155,610135,763882,697085,580628,630825,570785
10,632348,610851,580249,732685,659724,531047,579260,543959
11,636686,580043,549841,633262,663604,564441,552671,585552
12,604048,550865,475970,525454,663604,550288,537298,534372
13,490643,500274,462216,348415,573538,479984,484960,641382
14,388637,507723,358028,422634,576005,396706,483034,521737
15,456784,506723,423775,409508,527191,447062,509910,293306
