semana,2013,2014,2015,2016,2017,2018,2019,2020
1,18,93,181,38,79,120,124,87
2,76,463,169,136,111,220,382,286
3,115,961,180,176,160,327,474,456
4,189,1127,155,241,239,390,439,550
5,0,793,111,396,272,262,397,478
6,382,1071,122,686,379,259,492,509
7,151,860,101,807,367,227,381,462
8,140,482,103,1320,471,186,329,467
9,124,392,83,1823,633,168,309,403
10,145,240,11,1323,608,127,269,326
11,123,145,50,770,483,98,211,316
12,94,145,52,508,434,98,240,224
13,72,86,20,339,357,24,165,93
14,6,56,20,315,246,46,190,100
15,30,63,5,106,122,48,226,56
16,65,27,24,68,157,25,72,29
17,22,25,9,127,71,18,100,23
18,21,22,14,69,66,28,58,32,
