semana,2013,2014,2015,2016,2017,2018,2019,2020
1,3217,3165,4162,3619,3125,2875,3409,2634
2,3813,4148,5402,3701,3272,3050,4004,3410
3,4776,5767,4943,3998,3429,3224,4292,3559
4,4702,6079,4987,3983,3314,3140,4262,3626
5,4496,6184,4289,3984,3405,3146,3997,3633
6,4062,5734,4301,4475,3568,2921,4416,3455
7,4272,5275,4411,5456,3537,3063,3727,3217
8,4201,5089,4730,6246,3447,2971,4093,3525
9,4201,4451,4071,5932,3716,2813,3855,3041
10,3862,3890,3787,5834,3617,2869,3660,2816
11,3596,3657,3814,4991,3741,2680,3557,2753
12,3516,3262,3749,4602,3741,2749,3221,2531
